Year,School,Conference,Public_Private,Undergrads,Revenues,Expenses,Coach_Salary,Infractions,Wins,Losses
2008,Florida,SEC,Public,32037,66150063,22860425,-1,0,13,1
2009,Florida,SEC,Public,31133,68715750,24457557,250000,0,13,1
2010,Florida,SEC,Public,30210,72807236,26263539,4010000,0,8,5
2011,Florida,SEC,Public,30070,74117435,23045846,3221000,0,7,6
2012,Florida,SEC,Public,29984,74820287,25704553,2474500,0,11,2
2013,Florida,SEC,Public,30054,69252865,23039283,2724500,0,4,8
2014,Florida,SEC,Public,29577,74720732,37473203,2724500,0,7,5
2015,Florida,SEC,Public,29862,83761070,32048390,3983359,1,10,4
2016,Florida,SEC,Public,30583,82791752,33692163,4268325,0,9,4
2004,Florida Atlantic,Sun Belt,Public,11412,969358,3895829,-1,0,9,3
2005,Florida Atlantic,Sun Belt,Public,11904,2511220,3587551,-1,0,2,9
2006,Florida Atlantic,Sun Belt,Public,13354,2402510,3615243,350147,0,5,7
2007,Florida Atlantic,Sun Belt,Public,12440,2630350,4490948,330163,0,8,5
2008,Florida Atlantic,Sun Belt,Public,12358,2546699,4650348,-1,0,7,6
2009,Florida Atlantic,Sun Belt,Public,13015,2280834,4610870,381338,0,5,7
2010,Florida Atlantic,Sun Belt,Public,13976,6857469,5256458,400405,0,4,8
2011,Florida Atlantic,Sun Belt,Public,15029,10291875,6886602,400405,0,1,11
2012,Florida Atlantic,Sun Belt,Public,15389,7287694,6726618,450000,0,3,9
2013,Florida Atlantic,C-USA,Public,15566,8436120,8436120,496124,0,6,6
2014,Florida Atlantic,C-USA,Public,15178,7659353,7628818,500000,0,3,9
2015,Florida Atlantic,C-USA,Public,15670,7817872,7704431,525000,0,3,9
2016,Florida Atlantic,C-USA,Public,15715,7915024,7915024,591250,0,3,9
2004,Florida International,Sun Belt,Public,16955,4977745,3892475,-1,1,3,7
2005,Florida International,Sun Belt,Public,18731,5636102,4717864,-1,1,5,6
2006,Florida International,Sun Belt,Public,30049,6466113,5905876,250000,0,0,12
2007,Florida International,Sun Belt,Public,18660,7164071,6039756,381076,0,1,11
2008,Florida International,Sun Belt,Public,18972,6563171,5973113,-1,1,5,7
2009,Florida International,Sun Belt,Public,19191,6915199,6225125,403000,0,3,9
2010,Florida International,Sun Belt,Public,21140,7765954,7224803,437382,0,7,6
2011,Florida International,Sun Belt,Public,22864,7965277,7867972,497183,0,8,5
2012,Florida International,Sun Belt,Public,23698,8168228,8168228,522183,0,3,9
2013,Florida International,C-USA,Public,25645,7155157,7155157,500000,0,1,11
2014,Florida International,C-USA,Public,25340,9157416,9157416,550000,0,4,8
2015,Florida International,C-USA,Public,25380,9454845,7405444,604190,0,5,7
2016,Florida International,C-USA,Public,25920,8168032,11396788,609731,0,4,8
2003,Florida State,ACC,Public,25959,18399013,8990027,-1,0,10,3
2004,Florida State,ACC,Public,26619,18246005,9137462,-1,0,9,3
2005,Florida State,ACC,Public,27203,20449768,9213504,-1,0,8,5
2006,Florida State,ACC,Public,31058,17457519,9873264,352200,0,7,6
2007,Florida State,ACC,Public,31508,14820135,10923087,478200,0,7,6
2008,Florida State,ACC,Public,26265,24877536,16706311,-1,0,9,4
2009,Florida State,ACC,Public,27513,18958861,16345376,565875,1,7,6
2010,Florida State,ACC,Public,28006,35870789,18689809,1800000,0,10,4
2011,Florida State,ACC,Public,28592,34484786,22052228,2750000,0,9,4
2012,Florida State,ACC,Public,28530,43085121,23427950,2750000,0,12,2
2013,Florida State,ACC,Public,28709,57389055,32856508,2750000,0,14,0
2014,Florida State,ACC,Public,28933,70321194,31299768,3591667,0,13,1
2015,Florida State,ACC,Public,28931,55708828,42457103,5150000,0,10,3
2016,Florida State,ACC,Public,29051,86565283,48330205,5250000,0,10,3
2003,Fresno State,WAC,Public,14414,8418701,6078145,-1,0,9,5
2004,Fresno State,WAC,Public,14261,9156157,6137066,-1,0,9,3
2005,Fresno State,WAC,Public,14857,8389539,6657996,-1,0,8,5
2006,Fresno State,WAC,Public,15178,7902336,5905529,1231421,0,4,8
2007,Fresno State,WAC,Public,15581,9544629,6974561,684236,0,9,4
2008,Fresno State,WAC,Public,15717,10414434,6958107,-1,0,7,6
2009,Fresno State,WAC,Public,15463,9051902,6493632,625000,0,8,5
2010,Fresno State,WAC,Public,15538,10059929,7040523,952499,0,8,5
2011,Fresno State,WAC,Public,16520,8598562,7253910,650000,0,4,9
2012,Fresno State,MW,Public,17140,9704118,8718043,650000,0,9,4
2013,Fresno State,MW,Public,17550,11151315,10322556,650000,0,11,2
2014,Fresno State,MW,Public,17718,13552228,10980347,1400000,0,6,8
2015,Fresno State,MW,Public,18643,11381458,11381458,1457745,0,3,9
2016,Fresno State,MW,Public,18828,13219900,13219900,1518480,0,1,11
2003,Georgia,SEC,Public,22971,42104214,8780360,-1,0,11,3
2004,Georgia,SEC,Public,22616,50895838,12532495,-1,0,10,2
2005,Georgia,SEC,Public,22730,58661538,14553454,-1,0,10,3
2006,Georgia,SEC,Public,25437,59516939,16372291,270000,0,9,4
2007,Georgia,SEC,Public,23577,67053051,19073103,578100,0,11,2
2008,Georgia,SEC,Public,23758,65218406,19836966,-1,0,10,3
2009,Georgia,SEC,Public,24551,70838539,18308654,809340,0,8,5
2010,Georgia,SEC,Public,24299,74888175,22036338,2811340,0,6,7
2011,Georgia,SEC,Public,24607,74989418,22710140,2811400,0,10,4
2012,Georgia,SEC,Public,24398,77594300,26325257,2811340,0,12,2
2013,Georgia,SEC,Public,24654,77160814,27246515,3200000,0,8,5
2014,Georgia,SEC,Public,25259,86719115,26154335,3200000,0,10,3
2015,Georgia,SEC,Public,25737,87613126,38884925,4000000,0,10,3
2016,Georgia,SEC,Public,26252,93335288,36387975,3753600,0,8,5
2014,Georgia Southern,Sun Belt,Public,15793,4777968,4777968,400000,0,9,3
2015,Georgia Southern,Sun Belt,Public,15790,7799526,5178378,500000,0,9,4
2016,Georgia Southern,Sun Belt,Public,15912,6138567,6138567,500000,0,5,7
2013,Georgia State,Sun Belt,Public,18267,6132435,6132435,510000,0,0,12
2014,Georgia State,Sun Belt,Public,18839,6664116,6664116,510000,0,1,11
2015,Georgia State,Sun Belt,Public,18652,6237189,6237189,523500,0,6,7
2016,Georgia State,Sun Belt,Public,19062,7955423,7955423,537405,0,3,9
2003,Georgia Tech,ACC,Public,10367,13071882,7531087,-1,0,7,6
2004,Georgia Tech,ACC,Public,10725,10936408,6433063,-1,0,7,5
2005,Georgia Tech,ACC,Public,10992,9953347,8284908,-1,1,7,5
2006,Georgia Tech,ACC,Public,11842,25331130,9397208,437582,0,9,5
2007,Georgia Tech,ACC,Public,11696,29353239,14199958,459461,0,7,6
2008,Georgia Tech,ACC,Public,11954,22830766,16128865,-1,0,9,4
2009,Georgia Tech,ACC,Public,12351,24870064,15519206,325000,0,11,3
2010,Georgia Tech,ACC,Public,12506,22557020,15463243,2300000,0,6,7
2011,Georgia Tech,ACC,Public,12617,32104928,17513836,2369000,1,8,5
2012,Georgia Tech,ACC,Public,13190,30745256,19056786,2440700,0,7,7
2013,Georgia Tech,ACC,Public,13193,34306164,18992117,2513000,0,7,6
2014,Georgia Tech,ACC,Public,13150,41124340,19682945,2588000,1,11,3
2015,Georgia Tech,ACC,Public,13572,43605746,17375756,2800000,0,3,9
2016,Georgia Tech,ACC,Public,13698,46252310,22349543,2884361,0,9,4
2003,Hawaii,WAC,Public,11461,4837475,4657652,-1,0,9,5
2004,Hawaii,WAC,Public,11808,5164810,4605644,-1,0,8,5
2005,Hawaii,WAC,Public,11857,5412764,6095601,-1,0,5,7
2006,Hawaii,WAC,Public,11473,7533652,7033664,400008,0,11,3
2007,Hawaii,WAC,Public,11049,12205141,9509675,400008,0,12,1
2008,Hawaii,WAC,Public,10965,7523084,9031878,-1,0,7,7
2009,Hawaii,WAC,Public,11117,6493059,8256735,1100004,0,6,7
2010,Hawaii,WAC,Public,11155,7684363,8860417,1100004,0,10,4
2011,Hawaii,WAC,Public,11435,7149661,10585001,1100004,0,6,7
2012,Hawaii,MW,Public,11721,6128817,9063145,550000,0,3,9
2013,Hawaii,MW,Public,11822,9823218,9823218,550000,0,1,11
2014,Hawaii,MW,Public,11479,10716179,10716179,550000,0,4,9
2015,Hawaii,MW,Public,11212,11979786,11979786,550000,0,3,10
2016,Hawaii,MW,Public,10676,11811670,11811670,400008,0,7,7
2003,Houston,C-USA,Public,19112,3407761,5831103,-1,0,7,6
2004,Houston,C-USA,Public,19088,3073861,4608538,-1,0,3,8
2005,Houston,C-USA,Public,19866,2461588,6321664,-1,0,6,6
2006,Houston,C-USA,Public,19552,6925282,6925282,250000,0,10,4
2007,Houston,C-USA,Public,19438,4640582,6914190,380000,0,8,5
2008,Houston,C-USA,Public,20303,3965165,7338423,-1,0,8,5
2009,Houston,C-USA,Public,20771,7719733,8194333,350000,0,10,4
2010,Houston,C-USA,Public,22006,7877545,7877545,1000000,0,5,7
2011,Houston,C-USA,Public,22852,8250249,8250249,1200000,0,13,1
2012,Houston,C-USA,Public,23187,8513411,8513411,900000,0,5,7
2013,Houston,American,Public,22475,9379867,9379867,900000,0,8,5
2014,Houston,American,Public,23595,11306212,11306212,1025000,0,8,5
2015,Houston,American,Public,24484,16180918,16180918,1450000,0,13,1
2016,Houston,American,Public,25399,14641643,14641643,3000000,0,9,4
2003,Idaho,Sun Belt,Public,8350,4317590,3603103,-1,0,3,9
2004,Idaho,Sun Belt,Public,8341,1996166,3098701,-1,0,3,9
2005,Idaho,WAC,Public,8380,2456546,2841561,-1,0,2,9
2006,Idaho,WAC,Public,7927,4885021,3848177,-1,0,4,8
2007,Idaho,WAC,Public,7927,4412780,3672938,-1,0,1,11
2008,Idaho,WAC,Public,8010,5900551,4961529,-1,0,2,10
2009,Idaho,WAC,Public,8190,5878973,4282675,-1,0,8,5
2010,Idaho,WAC,Public,8479,7668822,5490410,-1,0,6,7
2011,Idaho,WAC,Public,8619,7482169,5787302,-1,0,2,10
2012,Idaho,WAC,Public,8097,5607850,5607850,-1,0,1,11
2013,Idaho,Independent,Public,7976,5889940,5889940,-1,0,1,11
2014,Idaho,Sun Belt,Public,7607,6204214,6123773,-1,1,1,10
2015,Idaho,Sun Belt,Public,7273,6913838,6561109,-1,0,4,8
2016,Idaho,Sun Belt,Public,7248,7283199,7069959,-1,0,9,4
2003,Illinois,Big Ten,Public,28095,19450420,7402662,-1,0,1,11
2004,Illinois,Big Ten,Public,28686,17963276,9060219,-1,0,3,8
2005,Illinois,Big Ten,Public,29912,19066406,8397371,-1,1,2,9
2006,Illinois,Big Ten,Public,30575,20764472,9371073,530000,0,2,10
2007,Illinois,Big Ten,Public,30695,25370427,12210666,305000,0,9,4
2008,Illinois,Big Ten,Public,30386,25710645,10492919,-1,0,5,7
2009,Illinois,Big Ten,Public,30319,25301783,11092122,605000,0,3,9
2010,Illinois,Big Ten,Public,30292,28079694,12910507,1505000,0,7,6
2011,Illinois,Big Ten,Public,30930,30545255,16109633,1750000,0,7,6
2012,Illinois,Big Ten,Public,30730,29267805,16551097,1600000,0,2,10
2013,Illinois,Big Ten,Public,31129,30323995,16559019,1700000,0,4,8
2014,Illinois,Big Ten,Public,31312,30819615,18336909,1950000,0,6,7
2015,Illinois,Big Ten,Public,31552,32910979,18242712,915000,0,5,7
2016,Illinois,Big Ten,Public,32126,35622414,22332328,1809179,0,3,9
2003,Indiana,Big Ten,Public,28559,13566505,8535382,-1,0,2,10
2004,Indiana,Big Ten,Public,27743,10538427,10109936,-1,0,3,8
2005,Indiana,Big Ten,Public,27974,15389777,10561809,-1,0,4,7
2006,Indiana,Big Ten,Public,29549,17033871,10180588,300000,0,5,7
2007,Indiana,Big Ten,Public,28694,21774074,12493144,193297,0,7,6
2008,Indiana,Big Ten,Public,30006,20836473,11841930,-1,0,3,9
2009,Indiana,Big Ten,Public,30983,21783185,12822779,308750,0,4,8
2010,Indiana,Big Ten,Public,30888,24230741,16112930,650000,0,5,7
2011,Indiana,Big Ten,Public,31010,24858336,15995206,1260000,0,1,11
2012,Indiana,Big Ten,Public,30845,24370088,15901109,1260000,0,4,8
2013,Indiana,Big Ten,Public,30910,26237689,17652439,1291220,0,5,7
2014,Indiana,Big Ten,Public,31161,27508477,18010927,1301644,0,4,8
2015,Indiana,Big Ten,Public,31559,35213709,24233472,1312277,0,6,7
2016,Indiana,Big Ten,Public,31884,37085787,25672983,2320000,0,6,7
2003,Iowa,Big Ten,Public,17774,25349769,670253,-1,0,10,3
2004,Iowa,Big Ten,Public,17879,29568437,3751669,-1,0,10,2
2005,Iowa,Big Ten,Public,18194,31810059,4133760,-1,0,7,5
2006,Iowa,Big Ten,Public,20300,45335026,4198489,2840000,0,6,7
2007,Iowa,Big Ten,Public,20907,37998729,2935725,3020000,0,6,6
2008,Iowa,Big Ten,Public,18541,38896234,3876169,-1,0,9,4
2009,Iowa,Big Ten,Public,18319,45854764,3985541,3020000,0,11,2
2010,Iowa,Big Ten,Public,18895,44506832,4366794,3775000,0,8,5
2011,Iowa,Big Ten,Public,19158,50460344,4218074,3785000,0,7,6
2012,Iowa,Big Ten,Public,19449,55648679,3308276,3835000,0,4,8
2013,Iowa,Big Ten,Public,19301,53624529,4824119,3985000,0,8,5
2014,Iowa,Big Ten,Public,19375,52354781,4825833,4075000,0,7,6
2015,Iowa,Big Ten,Public,19712,56551411,5705156,4075000,0,12,2
2016,Iowa,Big Ten,Public,20690,58685965,4354108,4500000,0,8,5
2003,Iowa State,Big 12,Public,20682,10660310,886326,-1,0,2,10
2004,Iowa State,Big 12,Public,20004,11383885,1144932,-1,0,7,5
2005,Iowa State,Big 12,Public,19433,13820271,2315630,-1,0,7,5
2006,Iowa State,Big 12,Public,19048,10807280,1884611,225000,0,4,8
2007,Iowa State,Big 12,Public,21004,17404826,728122,250000,0,3,9
2008,Iowa State,Big 12,Public,20215,21261439,2103144,-1,0,2,10
2009,Iowa State,Big 12,Public,21081,19974924,3182313,250000,0,7,6
2010,Iowa State,Big 12,Public,21674,21862535,2413662,1050000,0,5,7
2011,Iowa State,Big 12,Public,22901,29774752,4067341,1150000,0,6,7
2012,Iowa State,Big 12,Public,24020,29475730,3867706,1600000,0,6,7
2013,Iowa State,Big 12,Public,25985,30968258,3145504,1700000,1,3,9
2014,Iowa State,Big 12,Public,27199,33074046,3010211,1800000,0,2,10
2015,Iowa State,Big 12,Public,28631,41789111,3521020,2200000,0,3,9
2016,Iowa State,Big 12,Public,28791,41584474,4168338,2000000,0,3,9
2003,Kansas,Big 12,Public,17938,9361531,7723233,-1,0,6,7
2004,Kansas,Big 12,Public,18331,9820327,7066392,-1,0,4,7
2005,Kansas,Big 12,Public,18519,11603739,10299787,-1,0,7,5
2006,Kansas,Big 12,Public,18576,11258985,9869815,1288381,1,6,6
2007,Kansas,Big 12,Public,18441,14841115,13967331,1294040,0,12,1
2008,Kansas,Big 12,Public,19131,17676175,13338908,-1,0,8,5
2009,Kansas,Big 12,Public,18809,17885176,16270250,1773600,0,5,7
2010,Kansas,Big 12,Public,18137,9525773,13095945,2100000,0,3,9
2011,Kansas,Big 12,Public,17492,15343186,20625241,2100000,0,2,10
2012,Kansas,Big 12,Public,16917,20949893,14330947,2500000,0,1,11
2013,Kansas,Big 12,Public,16877,23177772,14844645,2500000,0,3,9
2014,Kansas,Big 12,Public,16995,25986541,20793566,2500000,0,3,9
2015,Kansas,Big 12,Public,16946,30245133,14011838,801169,0,0,12
2016,Kansas,Big 12,Public,16987,33144217,17061940,801109,0,2,10
2003,Kansas State,Big 12,Public,16285,20529001,11408393,-1,0,11,4
2004,Kansas State,Big 12,Public,16680,19954557,8466372,-1,0,4,7
2005,Kansas State,Big 12,Public,16519,18771501,8971751,-1,0,5,6
2006,Kansas State,Big 12,Public,16510,21730191,10209079,138000,0,7,6
2007,Kansas State,Big 12,Public,16285,21900159,10393954,142142,0,5,7
2008,Kansas State,Big 12,Public,16146,21378813,14019452,-1,0,5,7
2009,Kansas State,Big 12,Public,16413,17570624,11157789,1541667,0,6,6
2010,Kansas State,Big 12,Public,16941,19731620,10867052,1875000,0,7,6
2011,Kansas State,Big 12,Public,17186,26242319,13283539,1925000,0,10,3
2012,Kansas State,Big 12,Public,17634,30976071,16421248,2200000,0,11,2
2013,Kansas State,Big 12,Public,17884,32729335,16639645,2800000,0,8,5
2014,Kansas State,Big 12,Public,17956,34725916,16967110,2900000,0,9,4
2015,Kansas State,Big 12,Public,17755,38447972,18361189,3000000,0,6,7
2016,Kansas State,Big 12,Public,17562,40887031,19889407,3100000,0,9,4
2003,Kent State,MAC,Public,15982,866242,3228287,-1,0,5,7
2004,Kent State,MAC,Public,15925,777969,3466219,-1,0,5,6
2005,Kent State,MAC,Public,15828,824272,3515606,-1,0,1,10
2006,Kent State,MAC,Public,18090,2757760,4253652,150200,0,6,6
2007,Kent State,MAC,Public,20662,6040915,4493248,170000,0,3,9
2008,Kent State,MAC,Public,15775,4997453,4203789,-1,0,4,8
2009,Kent State,MAC,Public,17393,4394681,4394681,190000,0,5,7
2010,Kent State,MAC,Public,18286,4830507,4830507,190000,0,5,7
2011,Kent State,MAC,Public,17863,5288232,5288232,300000,0,5,7
2012,Kent State,MAC,Public,17946,5357800,5357800,300000,0,11,3
2013,Kent State,MAC,Public,18158,5756090,5177104,382500,0,4,8
2014,Kent State,MAC,Public,18539,5652301,5497223,382500,0,2,9
2015,Kent State,MAC,Public,18889,6139482,6139482,390150,0,3,9
2016,Kent State,MAC,Public,19034,6861750,6861750,405912,0,3,9
2003,Kentucky,SEC,Public,16274,19779329,8201781,-1,0,4,8
2004,Kentucky,SEC,Public,16595,19631403,7868332,-1,0,2,9
2005,Kentucky,SEC,Public,17050,19793174,9311195,-1,0,3,8
2006,Kentucky,SEC,Public,17425,21898082,10155979,195000,0,8,5
2007,Kentucky,SEC,Public,16716,25861744,12018188,294884,0,8,5
2008,Kentucky,SEC,Public,17267,26143126,13247477,-1,0,7,6
2009,Kentucky,SEC,Public,17549,31890572,13905724,400000,0,7,6
2010,Kentucky,SEC,Public,18216,34020276,14352110,1700000,0,6,7
2011,Kentucky,SEC,Public,18383,32997939,13368099,1701339,0,5,7
2012,Kentucky,SEC,Public,19109,30526981,18301396,1700000,0,2,10
2013,Kentucky,SEC,Public,19802,34084413,17213933,2001250,0,2,10
2014,Kentucky,SEC,Public,20513,35495890,19033843,2700000,0,5,7
2015,Kentucky,SEC,Public,21058,39714834,22309964,3250000,0,5,7
2016,Kentucky,SEC,Public,20772,36393185,25589648,3500000,0,7,6
2003,Louisiana Tech,WAC,Public,7942,2477909,3053396,-1,0,5,7
2004,Louisiana Tech,WAC,Public,7553,2879053,3050592,-1,0,6,6
2005,Louisiana Tech,WAC,Public,7618,2187733,3209086,-1,0,7,4
2006,Louisiana Tech,WAC,Public,7078,3152397,3886243,150000,0,10,0
2007,Louisiana Tech,WAC,Public,6672,2804582,4254987,200000,0,5,7
2008,Louisiana Tech,WAC,Public,6443,2835741,4952114,-1,0,8,5
2009,Louisiana Tech,WAC,Public,6326,5040398,4781713,200000,0,4,8
2010,Louisiana Tech,WAC,Public,6381,5302358,5218344,450000,0,5,7
2011,Louisiana Tech,WAC,Public,6513,6142661,6079541,450000,0,8,5
2012,Louisiana Tech,WAC,Public,6258,6152955,6017623,750000,0,9,3
2013,Louisiana Tech,C-USA,Public,6273,6232317,6019967,500000,0,4,8
2014,Louisiana Tech,C-USA,Public,6556,7473142,7341453,500000,0,9,5
2015,Louisiana Tech,C-USA,Public,6993,7571143,7448192,500000,0,9,4
2016,Louisiana Tech,C-USA,Public,7434,8334252,8284960,500000,0,9,5
2003,Louisiana-Lafayette,Sun Belt,Public,12025,1574181,2585509,-1,0,4,8
2004,Louisiana-Lafayette,Sun Belt,Public,12331,1286266,2607302,-1,0,4,7
2005,Louisiana-Lafayette,Sun Belt,Public,12926,1484262,2747293,-1,0,6,5
2006,Louisiana-Lafayette,Sun Belt,Public,14931,3043713,3100921,194250,0,6,6
2007,Louisiana-Lafayette,Sun Belt,Public,12524,3544612,3544612,160750,1,3,9
2008,Louisiana-Lafayette,Sun Belt,Public,12305,4015061,4015061,-1,0,6,6
2009,Louisiana-Lafayette,Sun Belt,Public,12516,4210176,4210176,166760,0,6,6
2010,Louisiana-Lafayette,Sun Belt,Public,12875,4837472,4837472,225000,0,3,9
2011,Louisiana-Lafayette,Sun Belt,Public,12994,5892869,5892869,360000,0,1,4
2012,Louisiana-Lafayette,Sun Belt,Public,12527,6780170,6780170,800000,1,5,4
2013,Louisiana-Lafayette,Sun Belt,Public,12274,7746097,7746097,800000,1,1,4
2014,Louisiana-Lafayette,Sun Belt,Public,12487,7953169,7953169,1000000,1,7,4
2015,Louisiana-Lafayette,Sun Belt,Public,12852,7424084,7424084,1050000,0,4,8
2016,Louisiana-Lafayette,Sun Belt,Public,12859,8450123,8450123,1100000,1,6,7
2003,Louisiana-Monroe,Sun Belt,Public,5839,1796303,2096641,-1,0,1,11
2004,Louisiana-Monroe,Sun Belt,Public,6131,1734872,2161094,-1,0,5,6
2005,Louisiana-Monroe,Sun Belt,Public,6417,2063937,2538063,-1,0,5,6
2006,Louisiana-Monroe,Sun Belt,Public,5911,3593026,2652273,125000,0,4,8
2007,Louisiana-Monroe,Sun Belt,Public,5849,2597628,2597628,155000,0,6,6
2008,Louisiana-Monroe,Sun Belt,Public,5763,2649397,2649397,-1,0,4,8
2009,Louisiana-Monroe,Sun Belt,Public,6007,2982373,2982373,160000,0,6,6
2010,Louisiana-Monroe,Sun Belt,Public,5005,2953497,2953497,215000,0,5,7
2011,Louisiana-Monroe,Sun Belt,Public,4949,3588964,3588964,225000,0,4,8
2012,Louisiana-Monroe,Sun Belt,Public,5072,3277727,3277727,250000,0,8,5
2013,Louisiana-Monroe,Sun Belt,Public,4851,4106583,4106583,288268,0,6,6
2014,Louisiana-Monroe,Sun Belt,Public,4842,4071730,4071730,357000,0,4,8
2015,Louisiana-Monroe,Sun Belt,Public,4951,5158578,5158578,360000,0,2,11
2016,Louisiana-Monroe,Sun Belt,Public,5149,5394664,5394664,390000,0,4,8
2003,Louisville,C-USA,Public,10676,9771414,7115857,-1,0,9,4
2004,Louisville,C-USA,Public,11085,11036267,8988147,-1,0,11,1
2005,Louisville,Big East,Public,11441,16331615,10500469,-1,0,9,3
2006,Louisville,Big East,Public,15103,19023605,13615991,810000,0,12,1
2007,Louisville,Big East,Public,15125,16082457,11601884,865000,0,6,6
2008,Louisville,Big East,Public,11638,18962150,11533885,-1,0,5,7
2009,Louisville,Big East,Public,11855,15537276,12222307,550000,0,4,8
2010,Louisville,Big East,Public,12038,25658653,15582161,1600000,0,7,6
2011,Louisville,Big East,Public,12038,23756955,18769539,2300000,0,7,6
2012,Louisville,Big East,Public,12058,28069712,23186536,2300000,0,11,2
2013,Louisville,American,Public,12301,26515411,21567494,3738500,0,12,1
2014,Louisville,ACC,Public,12364,36383759,18654530,3000000,0,9,4
2015,Louisville,ACC,Public,12214,40568726,23428841,3003500,0,8,5
2016,Louisville,ACC,Public,12325,42066595,25194609,3910434,0,9,4
2003,LSU,SEC,Public,23706,38381625,15349550,-1,0,13,1
2004,LSU,SEC,Public,24363,39657764,12175610,-1,0,9,3
2005,LSU,SEC,Public,25748,39528895,14331867,-1,0,11,2
2006,LSU,SEC,Public,25709,48141751,16408162,500000,0,11,2
2007,LSU,SEC,Public,21698,52687713,17908178,850000,0,12,2
2008,LSU,SEC,Public,21767,61868953,22743208,-1,0,8,5
2009,LSU,SEC,Public,21376,68819806,25566520,300000,0,9,4
2010,LSU,SEC,Public,21999,68510141,21492741,3751000,0,11,2
2011,LSU,SEC,Public,22122,68804309,24049282,3751000,1,13,1
2012,LSU,SEC,Public,22567,74275838,25822306,3751000,0,10,3
2013,LSU,SEC,Public,22707,87867268,37857120,4300000,0,10,3
2014,LSU,SEC,Public,23089,86312831,28639663,4300000,0,8,5
2015,LSU,SEC,Public,23450,85741919,30463660,4300000,0,9,3
2016,LSU,SEC,Public,23036,86183249,30086567,4300000,0,8,4
2003,Marshall,C-USA,Public,9759,5432559,4322861,-1,0,8,4
2004,Marshall,C-USA,Public,8275,5422949,4992762,-1,0,6,6
2005,Marshall,C-USA,Public,8190,6482008,5732484,-1,0,4,7
2006,Marshall,C-USA,Public,7837,6604877,5653832,144200,0,5,7
2007,Marshall,C-USA,Public,7663,8112305,6992192,294977,0,3,9
2008,Marshall,C-USA,Public,7668,6859758,6737369,-1,0,4,8
2009,Marshall,C-USA,Public,8004,7462672,7462672,187056,0,7,6
2010,Marshall,C-USA,Public,8468,8545389,6324868,600000,0,5,7
2011,Marshall,C-USA,Public,8577,8961669,7133258,607070,0,7,6
2012,Marshall,C-USA,Public,8519,7760381,7083399,600000,0,5,7
2013,Marshall,C-USA,Public,8211,8643638,8251837,607070,0,10,4
2014,Marshall,C-USA,Public,8052,9038549,7912066,607070,0,13,1
2015,Marshall,C-USA,Public,7933,9277508,8855865,755500,0,10,3
2016,Marshall,C-USA,Public,7917,8905082,8905082,762570,0,3,9
2003,Maryland,ACC,Public,23016,8941831,8736751,-1,1,10,3
2004,Maryland,ACC,Public,22933,9290976,9301052,-1,0,5,6
2005,Maryland,ACC,Public,-1,-1,-1,-1,0,5,6
2006,Maryland,ACC,Public,-1,-1,-1,252511,0,9,4
2007,Maryland,ACC,Public,-1,-1,-1,244136,0,6,7
2008,Maryland,ACC,Public,24296,13980823,11729095,-1,0,8,5
2009,Maryland,ACC,Public,24520,11540368,9863748,267468,0,2,10
2010,Maryland,ACC,Public,24749,13886493,11689128,2036306,0,9,4
2011,Maryland,ACC,Public,24590,19457684,13765146,2013440,0,2,10
2012,Maryland,ACC,Public,24364,16480601,11172381,1600000,0,4,8
2013,Maryland,ACC,Public,24400,21716970,15398021,2021440,0,7,6
2014,Maryland,Big Ten,Public,24908,30891641,16151389,2033680,0,7,6
2015,Maryland,Big Ten,Public,25272,30071434,20779161,2110648,0,3,9
2016,Maryland,Big Ten,Public,26174,29973008,18908923,2412000,0,6,7
2012,Massachusetts,MAC,Public,20177,6926665,6926665,400625,0,1,11
2013,Massachusetts,MAC,Public,20384,7820867,7820867,417730,0,1,11
2014,Massachusetts,MAC,Public,20551,7027529,7027529,450000,0,3,9
2015,Massachusetts,MAC,Public,20962,8556416,8556416,450000,0,3,9
2016,Massachusetts,Independent,Public,21340,10457450,10457450,467965,0,2,10
2003,Memphis,C-USA,Public,11256,4878352,6201964,-1,0,9,4
2004,Memphis,C-USA,Public,11722,4621399,7030197,-1,0,8,4
2005,Memphis,C-USA,Public,11568,5098671,7077845,-1,0,7,5
2006,Memphis,C-USA,Public,15984,6457912,6457912,155000,0,2,10
2007,Memphis,C-USA,Public,15793,7496138,7496138,159650,0,7,6
2008,Memphis,C-USA,Public,11782,8303040,8303040,-1,0,6,7
2009,Memphis,C-USA,Public,12465,11557329,11557329,155000,0,2,10
2010,Memphis,C-USA,Public,12833,8609583,8609583,750000,0,1,11
2011,Memphis,C-USA,Public,13096,12983962,12983962,754890,0,2,10
2012,Memphis,C-USA,Public,12700,11253801,11253801,903285,0,4,8
2013,Memphis,American,Public,12281,11937359,11937359,956779,0,3,9
2014,Memphis,American,Public,12323,13376999,13376999,1006779,0,10,3
2015,Memphis,American,Public,12013,14814121,14814121,1400000,0,9,4
2016,Memphis,American,Public,12372,14713436,14713436,1800000,0,8,5
2003,Miami (FL),Big East,Private,9184,23679096,14079192,-1,0,11,2
2004,Miami (FL),ACC,Private,9339,17195807,10679344,-1,0,9,3
2005,Miami (FL),ACC,Private,9766,15512749,15269057,-1,0,9,3
2006,Miami (FL),ACC,Private,9674,20769443,18012074,1800000,0,7,6
2007,Miami (FL),ACC,Private,9511,22071860,15327023,-1,0,5,7
